NOMBRE,USUARIO,CONTRASEÑA_EXEC_PRIVILEGIADO,LUGAR
RouterCentral,admin_cent,password_cent,Central
RouterVeracruz,admin_ver,password_ver,Veracruz
RouterJalisco,admin_jal,password_jal,Jalisco
RouterMonterrey,admin_mont,password_mont,Monterrey
RouterQueretaro,admin_quer,password_quer,Queretaro
SwitchCDMX1,admin_cent,password_cent,Central
SwitchCDMX2,admin_cent,password_cent,Central
SwitchCDMX3,admin_cent,password_cent,Central
SwitchVer1,admin_ver,password_ver,Veracruz
SwitchVer2,admin_ver,password_ver,Veracruz
SwitchVer3,admin_ver,password_ver,Veracruz
SwitchJal1,admin_jal,password_jal,Jalisco
SwitchJal2,admin_jal,password_jal,Jalisco
SwitchJal3,admin_jal,password_jal,Jalisco
SwitchMty1,admin_mont,password_mont,Monterrey
SwitchMty2,admin_mont,password_mont,Monterrey
SwitchMty3,admin_mont,password_mont,Monterrey
SwitchQro1,admin_quer,password_quer,Queretaro
SwitchQro2,admin_quer,password_quer,Queretaro
SwitchQro3,admin_quer,password_quer,Queretaro
